#,Gender,Height,Weight,DOB,Age,Sun_Sign,CGPA,Programming_Rate,Preferred_Lang,Sim_Course,Focus,DS_Same_As_DA,Mean,Median,Sleeping_Time,Sleep_Duration,Like_Maths,Engg_First_Choice,Inst_Choice,Physical_Activity
1,Female,5'3,74,7/30/2000,19,Aquarius,8.29,3,C++,No,Data,No,6,8,11:00:00 PM,5,Yes,Yes,Doesn't matter,On daily basis
2,Male,176,62,6/4/2000,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week
3,Male,176,62,6/4/2000,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week
4,Female,145,60,2/21/2000,18,Don't Know,9.21,3,Python,No,Data,No,6,9,11:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week
5,Male,185,56,8/15/2000,19,Leo,8.46,4,C,No,Data,No,6,8,11:30:00 PM,8,Yes,Yes,Doesn't matter,Once in a week
6,Male,170,79,6/21/1999,19,Cancer,9.7,4,C,No,Data,No,6,8,1:30:00 AM,5,No,Yes,Female,On daily basis
7,Male,168,58,6/3/2000,19,Don't Know,7.46,2,C,No,Data,No,6,8.5,12:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
8,Female,156,63,10/25/1999,19,Scorpio,9.42,3,C,Yes,Science,No,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
9,Female,158,65,10/12/2000,18,Libra,9.17,3,C,No,Science,No,6,8,1:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
10,Male,180.34,60,7/10/2000,19,Cancer,8.25,4,C,No,Data,No,6,8,12:30:00 AM,7,,Yes,Doesn't matter,On daily basis
11,Female,150,51,4/13/2000,18,Cancer,6.5,2,C,No,Data,May be,9,8,11:00:00 PM,6-7 ,Yes,Doesn't matter,Doesn't matter,Not so often
12,Male,165.1,64,9/10/2000,18,Virgo,8.75,4,Python,Yes,Data,No,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,Not so often
13,Male,193,69,1/20/2018,18,Gemini,7.25,3,C,Yes,Data,May be,15,8,10:00:00 PM,8,No,Doesn't matter,Doesn't matter,Never
14,Male,183,57,9/6/2000,18,Virgo,7.94,3,Python,Yes,Data,No,6,8,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
15,Male,175,70,1/8/2000,19,Capricorn,7.23,3,Python,No,Data,Yes,15,8,1:00:00 AM,5-6,Yes,Not at all,Doesn't matter,On daily basis
16,Male,175,49,12/23/1999,19,Capricorn,8.62,3,C,No,Data,May be,6,9,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
17,Female,156,40,11/25/2000,18,Sagittarius,8.75,3,C,No,Data,May be,6,8,10:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
18,Male,180,58.2,4/1/2000,19,Aries,9.52,3,C,Yes,Science,May be,6,8,11:30:00 AM,7,Yes,Doesn't matter,Doesn't matter,On daily basis
19,Female,5.4,61,12/14/2000,18,Aquarius,7.56,3,C,No,Data,May be,15,9,11:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
20,Male,178,60,1/7/2000,18,Capricorn,7.92,4,C,No,Data,May be,6,9,12:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
21,Male,180,67,2/14/2000,18,Aquarius,6.3,2,C++,No,Data,No,6,8,12:00:00 PM,6,No,Not at all,Doesn't matter,Once in a month
22,Male,160,80,11/25/2000,18,Sagittarius,9.54,3,Python,No,Data,May be,6,8,11:30:00 AM,7,Yes,Yes,Doesn't matter,Once in a week
23,Male,170,70,5/21/2000,19,Cancer,7.565,3,C,No,Science,May be,6,9,6:00:00 AM,9,Yes,Yes,Doesn't matter,Once in a week
24,Male,179,88,1/7/2000,19,Capricorn,6,3,C++,No,Data,No,6,8,12:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
25,Male,182.8,58,6/10/2000,20,Scorpio,7.65,4,Python,Yes,Data,May be,6,8,11:15:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
26,Male,179,57.5,7/13/2000,19,Cancer,9.19,4,Python,Yes,Data,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
27,Male,180,54,4/19/2000,19,Aries,7.85,3,Python,No,Data,May be,6,8,10:00:00 AM,10,Yes,Yes,Doesn't matter,Once in a week
28,Female,156,46,12/24/1999,19,Capricorn,9.04,4,C,No,Data,No,6,8,11:00:00 AM,7,Yes,Yes,Doesn't matter,Not so often
29,Male,170,55,7/28/2000,19,Don't Know,8.79,4,C,No,Data,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,Not so often
30,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
31,Male,178,68,6/26/1999,19,Capricorn,8.65,3,C,No,Data,May be,15,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
32,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
33,Male,164,49,2/16/2000,19,Aquarius,8.2,3,C,Yes,Data,May be,6,8,10:00:00 AM,8,No,Yes,Doesn't matter,On daily basis
34,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
35,Male,179,70,8/4/2000,19,Aries,7.68,3,C++,No,Data,No,6,8,11:00:00 PM,6,Yes,Doesn't matter,Doesn't matter,On daily basis
36,Female,162,63,12/14/2000,18,Sagittarius,7.42,4,C++,No,Data,No,6,8,11:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
37,Female,5'4,,8/13/2000,19,Leo,7.7,3,C++,No,Data,May be,6,9,11:30:00 PM,6-7,,Yes,Doesn't matter,Not so often
38,Male,177,56,5/22/2000,19,Gemini,8.32,3,C++,No,Data,No,6,5,12:30:00 AM,6,Yes,Not at all,Male,Once in a week
39,Male,156,84,6/12/2000,19,Gemini,9.21,3,C++,No,Data,No,30,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
40,Female,160,48,8/23/2018,19,Sagittarius,8.79,2,C,No,Data,May be,8.5,8,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often
41,Male,170,55,6/5/2000,18,Aquarius,7,3,Python,No,Data,No,6,9,11:00:00 PM,6,Yes,Not at all,Doesn't matter,Not so often
42,Female,162,60,11/25/1999,19,Sagittarius,8,4,C,No,Data,No,6,9,5:45:00 AM,6-7,Yes,Yes,Female,Not so often
43,Male,177,50,7/14/2000,19,Cancer,8.1,3,Python,No,Data,No,6,8,10:45:00 PM,8-9,No,Doesn't matter,Doesn't matter,On daily basis
44,Male,5.5,54,3/28/2000,19,Pisces,9.25,3,C,No,Data,No,6,8,11:30:00 PM,6hr,Yes,Yes,Doesn't matter,Once in a week
45,Female,153,45,7/21/2000,19,Libra,6.12,2,C,No,Data,No,15,6,11:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
46,Male,162.5,60,1/22/2000,18,Cancer,9.96,4,Python,Yes,Science,No,6,8,10:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
47,Male,182,81,3/14/1999,19,Capricorn,8.52,3,Python,No,Data,May be,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
48,Male,178,50,7/28/1999,19,Capricorn,8.9,5,C++,Yes,Data,May be,6,8,1:00:00 AM,5,Yes,Yes,Doesn't matter,Not so often
49,Male,173,53,2/26/2000,18,Capricorn,8.32,3,C,No,Data,May be,3,8,11:30:00 PM,7,Yes,Yes,Male,Not so often
50,Male,173,62,3/22/2000,19,Aries,8.44,4,C,No,Science,May be,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often
51,Male,180,60,12/5/1999,19,Sagittarius,6.71,2,C++,No,Data,No,6,9,1:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
52,Female,155,55,12/13/1999,19,Sagittarius,8.23,4,Python,Yes,Science,No,6,8,10:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
53,Male,170,68,7/7/1999,20,Don't Know,7.35,3,C,No,Data,May be,6,8,12:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
54,Male,180,60 kgs,12/17/2000,18,Sagittarius,6,3,Python,No,Science,No,6,9,11:00:00 PM,4 - 5 hrs,No,Doesn't matter,Female,On daily basis
55,Male,167,68,4/14/2000,18,Leo,6.8,3,C,No,Science,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,Never
56,Female,160,46,6/15/1999,19,Gemini,8.105,3,C,No,Data,May be,15,8,11:00:00 PM,7,Yes,Not at all,Doesn't matter,Once in a week
57,Male,175,75,3/22/2000,18,Taurus,7.04,3,C,Yes,Science,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
58,Female,172,60,10/7/1999,18,Libra,9.71,4,C,No,Science,No,6,9,1:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week
59,Male,175,50,7/24/2000,19,Capricorn,7.8,4,C,No,Data,No,6,5,12:30:00 AM,7,Yes,Yes,Doesn't matter,Once in a week
60,Female,165,70,2/18/2000,19,Aquarius,8.13,3,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
61,Male,178,62,10/26/2000,19,Scorpio,8.75,4,Python,Yes,Data,No,30,8,12:30:00 AM,5 and a half hours,Yes,Yes,Doesn't matter,Not so often
62,Female,0,1 billion tonne,8/6/2018,13700000000,Don't Know,0,1,None,No,Data,May be,1234567890,0987654321,2:00:00 PM,99999999999999999999999999 nano seconds,No,Not at all,Male,Never
63,Male,185,61,7/19/2000,19,Cancer,8.02,4,Python,No,Data,May be,6,9,11:00:00 PM,7,No,Doesn't matter,Doesn't matter,Once in a week
64,Male,180,66,5/11/2000,19,Taurus,7.5,4,R,Yes,Science,No,5,8,11:00:00 PM,6,No,Yes,Doesn't matter,Not so often
65,Female,160,43,10/14/2000,18,Libra,8,3,C++,No,Data,May be,15,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
66,Female,161,51,5/26/1999,19,Gemini,9.5,4,C++,No,Data,No,5,8,12:00:00 PM,8,Yes,Yes,Doesn't matter,Once in a week
67,Male,184cm,72kg,3/8/1999,19,Pisces,7.45,3,C,No,Data,May be,6,8,11:00:00 PM,7-8hrs,Yes,Yes,Doesn't matter,On daily basis
68,Male,160,52,5/16/1999,21,Aries,7.25,3,Python,No,Science,May be,6,8,10:30:00 AM,6:00,Yes,Yes,Doesn't matter,On daily basis
69,Male,5'8,72,2/15/2018,18,Scorpio,8,4,Python,Yes,Data,No,15,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
70,Female,177,68,10/2/1999,19,Aquarius,7.33,3,C,No,Data,No,6,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
71,Female,160,50,8/31/1999,18,Virgo,8.96,3,Python,No,Data,May be,6,8,11:30:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
72,Female,157,67,1/21/2000,19,Aquarius,9.2,2,C++,No,Data,May be,6,8,10:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
73,Female,174,65,3/12/2000,19,Don't Know,9.5,3,C,No,Data,No,6,Data has to be orderely placed to calculate median ,10:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis
74,Female,173.736,55,1/21/2000,19,Aquarius,8.875,3,Python,No,Data,No,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,Once in a week
75,Male,5'8,72,2/15/2018,18,Scorpio,8,4,Python,Yes,Data,No,15,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
76,Male,171,72,9/16/1999,19,Virgo,8.43,4,Python,Yes,Data,No,6,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
77,Male,170,75,4/7/2000,19,Aries,8.6,3,Python,No,Science,No,6,8,1:00:00 AM,5,Yes,Yes,Doesn't matter,On daily basis
78,Male,180,65,11/13/1999,19,Leo,6,3,Java,No,Science,No,15,9,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often
79,Female,158,50,3/13/2018,19,Pisces,9.04,3,C,No,Data,No,6,9,10:30:00 PM,7,Yes,Yes,Doesn't matter,Not so often
80,Male,174,57,7/23/2000,19,Cancer,8.38,3,C++,No,Data,May be,6,9,11:30:00 PM,7,No,Doesn't matter,Doesn't matter,Once in a week
81,Female,164,69,10/24/2000,18,Pisces,8.96,3,C,No,Data,No,6,8,11:30:00 PM,5-6,Yes,Doesn't matter,Doesn't matter,On daily basis
82,Female,158.5,60,7/31/2018,19,Leo,9.5,4,Python,No,Data,No,6,8,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often
83,Female,156,50,4/1/2000,19,Aries,8.2,3,C,No,Data,May be,6,8,12:00:00 AM,6-7,Yes,Yes,Doesn't matter,On daily basis
84,Male,179,52,12/18/2000,18.5,Sagittarius,8.4,4,C++,No,Science,No,6,8,12:30:00 AM,7,Yes,Doesn't matter,Doesn't matter,Once in a week
85,Female,100 mm,100 kg,4/1/2018,0.35,Leo,21.2,5,Lol,Yes,Science,Yes,999,999,1:01:00 AM,1,No,Doesn't matter,Doesn't matter,Never
86,Female,166,57,8/6/2018,18,Virgo,8.3,3,Python,No,Data,May be,6,8,12:00:00 PM,6,Yes,Not at all,Doesn't matter,Never
87,Male,165,56,11/6/2000,18,Scorpio,8.6,4,Java,No,Science,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
88,Male,165,56,5/6/2000,19,Taurus,9.3,3,Python,No,Data,May be,6,8,10:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a month
89,Male,170,59,3/25/2000,19,Gemini,8.48,3,C,No,Data,No,15,8,11:30:00 PM,7 and a half,Yes,Yes,Doesn't matter,Once in a week
90,Female,156,60,6/19/2000,19,Gemini,7.7,2,C,No,Science,No,6,8,2:00:00 AM,5,Yes,Yes,Doesn't matter,Not so often
91,Female,169,58,12/25/1999,19,Capricorn,8.58,1,Python,Yes,Data,No,6,8,11:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
92,Male,160,60,8/13/2000,18,Leo,9.15,4,C,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
93,Female,158,53,1/23/2000,19,Aquarius,7,1,C,No,Science,No,6,8,11:00:00 PM,6,No,Doesn't matter,Doesn't matter,On daily basis
94,Male,170,80,8/5/1999,20,Leo,8.25,3,C,No,Data,No,15,8,2:00:00 AM,5,Yes,Yes,Doesn't matter,Not so often
95,Female,156,50,3/31/2018,19,Aries,7.9,3,C,Yes,Data,No,6,8,11:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
96,Male,158,84,11/30/2000,18,Leo,7.79,4,C,No,Data,No,6,9,8:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis
97,Male,175,80,1/28/2000,19,Aquarius,9.06,4,C++,No,Science,No,6,8,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often
98,Female,150,43,10/13/2018,18,Gemini,6.5,3,C,No,Data,May be,6,8,12:00:00 AM,7-8,Yes,Not at all,Male,Not so often
99,Female,162,72,10/31/2000,19,Cancer,6.8,2,C,No,Data,May be,6,8,11:00:00 PM,6-7 hours ,Yes,Yes,Female,On daily basis
100,Male,167.64,54,2/23/1999,20,Pisces,7.1,3,C,No,Science,May be,6,8,11:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
101,Male,Lol ,Lol,8/6/2018,0,Sagittarius,0.000001,1,Lol,No,Data,May be,0.0000000002,0.00000001,1:59:00 AM,999,No,Doesn't matter,Female,On daily basis
102,Male,162,58,2/27/2000,19,Don't Know,7,4,C,Yes,Data,May be,6,6,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a month
103,Male,161,66,4/13/2000,19,Aries,8.75,4,Java,No,Data,May be,6,9,12:00:00 AM,8,Yes,Yes,Doesn't matter,On daily basis
104,Male,188,65,7/22/2000,19,Don't Know,7.58,3,Python,No,Science,May be,10,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
105,Male,175.26,58,12/28/1999,19,Capricorn,8.355,3,Python,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
106,Male,182.88,43,8/2/1997,21,Pisces,9.75,3,Python,Yes,Science,No,6,8,1:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a week
107,Male,174,68,11/18/2000,18,Scorpio,8.17,3,C,Yes,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a month
108,Male,180,56,12/26/2000,19,Capricorn,6.8,3,C,No,Data,May be,6,9,10:30:00 PM,Around 8 hours,Yes,Yes,Female,Not so often
109,Male,160,65,10/28/1999,20,Leo,9.5,1,C,No,Data,No,15,8,12:00:00 AM,7,Yes,Doesn't matter,Doesn't matter,Once in a week
110,Male,180,60,7/11/2000,18,Cancer,8.75,3,Python,No,Data,May be,6,9,11:00:00 PM,8,Yes,Yes,Doesn't matter,Once in a week
111,Male,176,77,5/20/2000,19,Don't Know,5.2,3,C,No,Data,May be,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
112,Male,176,78,11/26/1999,19,Sagittarius,8.8,3,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
113,Male,155,50,2/1/2000,18,Sagittarius,8.9,4,C,No,Data,No,6,9,11:30:00 PM,7,Yes,Yes,Doesn't matter,Not so often
114,Male,149,51,4/14/2000,19,Pisces,8.92,3,Python,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often
115,Male,172,65,9/15/2000,18,Virgo,7.17,2,C,No,Data,May be,6,8,11:00:00 PM,6-7,Yes,Yes,Doesn't matter,Once in a week
116,Male,180,78,6/10/2000,19,Gemini,7.9,3,C++,Yes,Data,May be,6,8,12:30:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
117,Male,174,72,2/27/2000,18,Pisces,8.1,2,Python,Yes,Data,No,6,8,1:00:00 AM,5.5hrs,Yes,Not at all,Doesn't matter,On daily basis
118,Male,182.88,76,8/7/1999,19,Don't Know,8.46,4,C,No,Data,May be,,15,10:00:00 PM,8,Yes,Not at all,Doesn't matter,On daily basis
119,Male,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,ðŸ˜‘ðŸ˜‘ðŸ˜‘ðŸ˜‘ðŸ˜‘,8/15/1947,71,Aries,33.34,5,C++,Yes,Science,No,6,8,12:00:00 AM,00,Yes,Not at all,Doesn't matter,On daily basis
120,Male,171,60,3/6/2000,19,Pisces,9.83,4,Python,No,Data,May be,6,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis
121,Male,160,60,8/13/2000,18,Leo,9.15,4,C,No,Data,No,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
122,Male,172,56,7/5/2000,19,Pisces,7.88,3,C,No,Data,No,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
123,Male,172,65,9/15/2000,18,Virgo,7.17,2,C,No,Data,May be,6,8,11:00:00 PM,6-7,Yes,Yes,Doesn't matter,Once in a week
124,Male,180,64,9/8/2000,18,Virgo,8.46,3,Python,No,Data,May be,6,9,1:00:00 AM,6,Yes,Yes,Doesn't matter,Not so often
125,Male,173,60,1/12/2000,18,Capricorn,9.17,5,Python,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often
126,Male,184,68,9/24/1997,19,Capricorn,7.8,3,C,Yes,Science,No,6,8,12:00:00 PM,5,Yes,Yes,Female,On daily basis
127,Male,178,59,4/5/2000,19,Aries,9.29,4,C,No,Data,May be,6,8,11:30:00 AM,5,Yes,Doesn't matter,Doesn't matter,On daily basis
128,Male,186,85,1/12/2000,18,Pisces,9.17,4,Python,No,Data,May be,6,8,11:00:00 PM,7-8,Yes,Yes,Doesn't matter,Once in a month
129,Male,182,94,6/16/2000,19,Gemini,4,2,C,No,Data,May be,23.6,8,11:00:00 AM,6,No,Yes,Doesn't matter,Never
130,Male,170,56,10/14/2000,18,Scorpio,8.15,3,C,No,Data,May be,6,5.5,11:00:00 PM,6,Yes,Doesn't matter,Doesn't matter,Not so often
131,Male,175,62,8/25/1999,18,Virgo,8.83,4,C,No,Data,No,15,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often
132,Male,160,60,8/8/1999,18,Gemini,7.46,1,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Doesn't matter,Doesn't matter,On daily basis
133,Male,160,60,8/8/1999,18,Gemini,7.46,1,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Doesn't matter,Doesn't matter,On daily basis
134,Female,164.95 cm,,9/29/2018,18,Libra,3.5,1,C,No,Data,May be,4,9,10:30:00 PM,8,Yes,Not at all,Doesn't matter,Once in a week
135,Female,168,,8/26/2000,19,Aries,8.52,2,Java,No,Data,No,7.5,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,Once in a month
136,Male,178,57,1/30/2000,19,Aquarius,7.8,3,Python,No,Data,May be,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,Once in a week
137,Male,164,54,11/18/1999,19,Libra,7,3,Python,No,Data,May be,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
138,Female,165cm,50kg,11/13/2000,18,Scorpio,9.17,4,C,No,Science,No,15,9,10:00:00 PM,7,Yes,Yes,Doesn't matter,Not so often
139,Male,184,,6/19/2000,19,Gemini,8.5,2,C,No,Data,No,6,8,11:00:00 PM,8,Yes,Yes,Doesn't matter,On daily basis
140,Female,158 cm,48,7/9/2000,18,Virgo,9.25,3,C,No,Data,May be,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,On daily basis
141,Male,172,63,3/31/2000,19,Aries,6.5,3,Python,Yes,Data,No,6,8,12:30:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
142,Male,170,65,10/28/2000,18,Scorpio,9,4,Python,No,Data,May be,6,8,11:30:00 PM,6,Yes,Yes,Doesn't matter,Not so often
143,Female,150,59,4/10/2018,19,Capricorn,8.3,3,C,Yes,Data,May be,6,9,10:00:00 PM,5,Yes,Yes,Doesn't matter,On daily basis
144,Female,163,65,6/6/2018,19,Gemini,9.355,3,Python,Yes,Data,May be,6,8,12:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week
145,Female,164,49,3/29/2000,19,Leo,9.63,3,C,Yes,Data,May be,6,8,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
146,Male,167,50,8/23/2000,18,Virgo,9.625,4,C,No,Data,No,6,8,12:30:00 AM,6,Yes,Yes,Doesn't matter,Once in a month
147,Female,162,45,6/27/2000,18,Aries,9,2,C,No,Data,May be,6,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
148,Male,182,77,6/15/2000,19,Gemini,8.92,4,C,No,Data,Yes,6,9,2:00:00 AM,6,Yes,Yes,Female,Not so often
149,Male,168,55,4/13/1997,21,Aries,7,4,Python,Yes,Data,May be,6,8,1:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
150,Male,170,53,2/18/1999,19,Aquarius,7.2,2,C,No,Data,May be,8,8,12:30:00 AM,6,No,Yes,Doesn't matter,Once in a week
